"abbr","year","link","real_team_age","avg_age"
"PHO",1983,"/teams/PHO/1983.html",26.5660922453117,25.9285714285714
"SEA",1983,"/teams/SEA/1983.html",27.3732895733401,26.8461538461538
"POR",1983,"/teams/POR/1983.html",25.4908124525437,24.9285714285714
"GSW",1983,"/teams/GSW/1983.html",24.7392315470172,25.0526315789474
"SDC",1983,"/teams/SDC/1983.html",24.8433182047403,25.9444444444444
"BOS",1984,"/teams/BOS/1984.html",28.0353796041092,27.5
"PHI",1984,"/teams/PHI/1984.html",27.7361563517915,26.1333333333333
"NYK",1984,"/teams/NYK/1984.html",27.2455300931755,27.3076923076923
"NJN",1984,"/teams/NJN/1984.html",25.4896238323656,25.5
"WSB",1984,"/teams/WSB/1984.html",26.2028133634765,25.3571428571429
"MIL",1984,"/teams/MIL/1984.html",28.375433308214,28.25
"DET",1984,"/teams/DET/1984.html",25.3982416478272,25.2857142857143
"ATL",1984,"/teams/ATL/1984.html",26.6232183329136,27.0588235294118
"CLE",1984,"/teams/CLE/1984.html",25.4474439687736,25.3846153846154
"CHI",1984,"/teams/CHI/1984.html",24.4345345345345,24.5384615384615
"IND",1984,"/teams/IND/1984.html",24.4232558139535,24.0714285714286
"UTA",1984,"/teams/UTA/1984.html",26.7624873609707,26.4166666666667
"DAL",1984,"/teams/DAL/1984.html",24.7287396642446,24.6153846153846
"DEN",1984,"/teams/DEN/1984.html",26.9892451401161,26.6428571428571
"KCK",1984,"/teams/KCK/1984.html",26.2255125284738,26.3333333333333
"SAS",1984,"/teams/SAS/1984.html",27.4205205205205,26.4
"HOU",1984,"/teams/HOU/1984.html",26.7811187041255,27
"LAL",1984,"/teams/LAL/1984.html",27.5102628918099,27.5
"POR",1984,"/teams/POR/1984.html",25.756021206766,25.2307692307692
"SEA",1984,"/teams/SEA/1984.html",27.0563700707786,27.0714285714286
"PHO",1984,"/teams/PHO/1984.html",27.1697168857432,26.9285714285714
"GSW",1984,"/teams/GSW/1984.html",25.5607665153807,25.1333333333333
"SDC",1984,"/teams/SDC/1984.html",25.4557019766853,25.125
"BOS",1985,"/teams/BOS/1985.html",28.5212382643999,28.3076923076923
"PHI",1985,"/teams/PHI/1985.html",27.9075485988387,27.3571428571429
"NJN",1985,"/teams/NJN/1985.html",26.4802834725386,26.7058823529412
"WSB",1985,"/teams/WSB/1985.html",27.0726265424326,26.2666666666667
"NYK",1985,"/teams/NYK/1985.html",25.8272314674735,26.3076923076923
"MIL",1985,"/teams/MIL/1985.html",25.7037111840444,25.4444444444444
"DET",1985,"/teams/DET/1985.html",26.8728693898134,26.3529411764706
"CHI",1985,"/teams/CHI/1985.html",25.1508204998738,25.7857142857143
"CLE",1985,"/teams/CLE/1985.html",26.5709807886754,26.6315789473684
"ATL",1985,"/teams/ATL/1985.html",25.4720725258121,25.7222222222222
"IND",1985,"/teams/IND/1985.html",24.1266936299292,23.8666666666667
"DEN",1985,"/teams/DEN/1985.html",28.268633383762,27.3333333333333
"HOU",1985,"/teams/HOU/1985.html",25.3478567826525,25.6428571428571
"DAL",1985,"/teams/DAL/1985.html",25.0143540669856,24.3333333333333
"UTA",1985,"/teams/UTA/1985.html",26.911364211592,27
"SAS",1985,"/teams/SAS/1985.html",28.052780586451,27.0588235294118
"KCK",1985,"/teams/KCK/1985.html",26.0687927107062,26.1875
"LAL",1985,"/teams/LAL/1985.html",27.4394330549228,27.2142857142857
"POR",1985,"/teams/POR/1985.html",25.1926056338028,25.1666666666667
"PHO",1985,"/teams/PHO/1985.html",26.411966675082,26.4666666666667
"SEA",1985,"/teams/SEA/1985.html",26.4012179649835,25.4666666666667
"LAC",1985,"/teams/LAC/1985.html",27.2606183476939,26.3571428571429
"GSW",1985,"/teams/GSW/1985.html",26.1424830017628,25.4615384615385
"BOS",1986,"/teams/BOS/1986.html",29.3082850667338,28.1538461538462
"PHI",1986,"/teams/PHI/1986.html",27.9925144436071,26.6111111111111
"WSB",1986,"/teams/WSB/1986.html",27.0941828254848,26.8421052631579
"NJN",1986,"/teams/NJN/1986.html",27.5463266851805,27.6666666666667
"NYK",1986,"/teams/NYK/1986.html",25.5343600100985,25.8125
"MIL",1986,"/teams/MIL/1986.html",26.0293865185559,26.0625
"ATL",1986,"/teams/ATL/1986.html",25.2973996465539,25.375
"DET",1986,"/teams/DET/1986.html",26.5053589484328,26.4285714285714
"CHI",1986,"/teams/CHI/1986.html",26.5866532359607,26.2941176470588
"CLE",1986,"/teams/CLE/1986.html",26.9542972699697,27.0588235294118
"IND",1986,"/teams/IND/1986.html",24.9881042773981,24.9285714285714
"HOU",1986,"/teams/HOU/1986.html",26.038926853961,25.6923076923077
"DEN",1986,"/teams/DEN/1986.html",28.1033662363958,26.75
"DAL",1986,"/teams/DAL/1986.html",25.763998990154,25.1428571428571
"UTA",1986,"/teams/UTA/1986.html",26.1989888776542,26.7142857142857
"SAC",1986,"/teams/SAC/1986.html",26.597219413549,26.3571428571429
"SAS",1986,"/teams/SAS/1986.html",27.8347891946478,26.8888888888889
"LAL",1986,"/teams/LAL/1986.html",28.066918809884,27.4666666666667
"POR",1986,"/teams/POR/1986.html",26.6078569629816,26
"PHO",1986,"/teams/PHO/1986.html",26.3148194900278,25.7058823529412
"LAC",1986,"/teams/LAC/1986.html",27.0203998987598,26.3684210526316
"SEA",1986,"/teams/SEA/1986.html",26.6482689412945,26.4375
"GSW",1986,"/teams/GSW/1986.html",26.7875631951466,26.5
"BOS",1987,"/teams/BOS/1987.html",29.4188841201717,27.9375
